LBE,Brooklyn,
MBE,WBE,BLACK,Cambria Heights,
MBE,BLACK,Yorktown Heights,
MBE,BLACK,Long Beach,
MBE,ASIAN,Brooklyn,
MBE,WBE,ASIAN,New York,
MBE,ASIAN,New York,
MBE,BLACK,New York,
MBE,HISPANIC,New York,
MBE,WBE,BLACK,Staten Island,
MBE,ASIAN,New York,
MBE,WBE,HISPANIC,New York,
MBE,WBE,ASIAN,New York,
MBE,BLACK,Jamaica,
WBE,NON-MINORITY,New York,
MBE,BLACK,Staten Island,
MBE,BLACK,Bronx,
WBE,NON-MINORITY,New Rochelle,
WBE,NON-MINORITY,Staten Island,
WBE,NON-MINORITY,New York,
MBE,BLACK,Brooklyn,
MBE,HISPANIC,Lincoln Park,
MBE,WBE,BLACK,New York,
WBE,NON-MINORITY,Staten Island,
MBE,ASIAN,New York,
WBE,NON-MINORITY,Cliffside Park,
MBE,WBE,BLACK,Bronx,
LBE,New York,
MBE,HISPANIC,Staten Island,
MBE,ASIAN,New York,
MBE,BLACK,New York,
WBE,Ozone Park,
WBE,NON-MINORITY,Lawrence,
MBE,LBE,ASIAN,Brooklyn,
MBE,HISPANIC,Lynbrook,
MBE,BLACK,Newark,
WBE,NON-MINORITY,College Point,
MBE,ASIAN,Berkeley Heights,
MBE,WBE,LBE,HISPANIC,New York,10040
MBE,ASIAN,East Elmhurst,
LBE,Astoria,
MBE,WBE,HISPANIC,New York,
MBE,LBE,BLACK,Bronx,
MBE,WBE,BLACK,South Ozone Park,
MBE,ASIAN,Congers,
MBE,BLACK,Bronx,
MBE,ASIAN,Brooklyn,
MBE,ASIAN,Bayside,
WBE,NON-MINORITY,New York,
MBE,HISPANIC,Bronx,
MBE,LBE,BLACK,Bronx,
MBE,ASIAN,Plainview,
WBE,NON-MINORITY,Bronx,
WBE,NON-MINORITY,Copiague,
WBE,NON-MINORITY,Bellingham,
MBE,BLACK,Jamaica,
WBE,NON-MINORITY,Forest Hills,
WBE,NON-MINORITY,New York,
MBE,WBE,LBE,BLACK,Bronx,10463
MBE,BLACK,Bay Shore,
WBE,NON-MINORITY,Montclair,
WBE,NON-MINORITY,Elmhurst,
MBE,ASIAN,Hicksville,
MBE,HISPANIC,Westwood,
MBE,ASIAN,New York,
LBE,Miller Place,
MBE,ASIAN,Jericho,
WBE,NON-MINORITY,New York,
MBE,BLACK,Jamaica,
MBE,ASIAN,Flushing,
MBE,WBE,BLACK,New York,
MBE,WBE,ASIAN,Richmond Hill,
MBE,BLACK,Hempstead,
MBE,WBE,HISPANIC,Bronx,
MBE,WBE,HISPANIC,Croton-on-Hudson,
MBE,HISPANIC,New York,
WBE,NON-MINORITY,Bronx,
WBE,NON-MINORITY,Mineola,
MBE,ASIAN,Mount Vernon,
MBE,HISPANIC,Port Chester,
